U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.634,4.121,3.59,3.077,2.555,2.052,1.558,1.093,0.609,0.153,4.501,3.969,3.533,2.973,2.479,1.985,1.463,1.046,0.467,0.039,4.53,4.074,3.504,2.973,2.489,1.966,1.473,1.017,0.486,0.049
4.624,4.121,3.599,3.058,2.593,2.042,1.539,1.065,0.599,0.134,4.549,3.998,3.523,3.049,2.498,1.966,1.492,1.065,0.486,0.039,4.501,4.036,3.504,3.001,2.489,1.976,1.482,1.017,0.486,0.077
4.624,4.131,3.628,3.049,2.574,2.023,1.549,1.112,0.599,0.153,4.511,3.969,3.542,3.039,2.479,1.966,1.511,1.008,0.476,0.096,4.511,4.026,3.495,3.011,2.489,1.985,1.482,0.989,0.467,0.068
4.634,4.14,3.609,3.077,2.564,2.052,1.625,1.084,0.599,0.115,4.568,3.922,3.542,3.03,2.489,1.966,1.444,1.046,0.429,0.011,4.52,4.045,3.523,2.982,2.517,1.947,1.482,0.998,0.486,0.087
4.653,4.14,3.59,3.077,2.564,2.014,1.539,1.103,0.59,0.087,4.52,4.017,3.514,3.03,2.489,1.957,1.501,1.027,0.495,0.068,4.501,4.064,3.533,3.02,2.489,1.957,1.463,1.017,0.495,0.039
4.672,4.14,3.58,3.068,2.564,2.033,1.587,1.131,0.571,0.125,4.539,3.988,3.523,3.049,2.527,1.976,1.492,1.036,0.467,0.039,4.501,4.036,3.514,2.982,2.508,1.985,1.492,0.989,0.495,0.087
4.634,4.14,3.58,3.068,2.564,2.023,1.568,1.131,0.609,0.125,4.558,3.95,3.542,3.068,2.498,1.957,1.454,1.008,0.486,0.087,4.492,4.064,3.504,2.992,2.498,1.985,1.482,1.017,0.467,0.049
4.634,4.102,3.609,3.068,2.555,2.052,1.587,1.103,0.58,0.172,4.586,3.96,3.504,3.001,2.508,1.976,1.473,1.046,0.467,0.058,4.511,4.036,3.495,3.02,2.489,1.976,1.492,1.017,0.486,0.077
4.643,4.15,3.609,3.087,2.564,2.033,1.558,1.112,0.58,0.134,4.53,3.96,3.523,3.039,2.479,1.957,1.473,0.989,0.476,0.087,4.53,4.045,3.523,2.992,2.508,1.985,1.482,1.008,0.467,0.077
4.624,4.121,3.59,3.077,2.555,2.023,1.577,1.065,0.58,0.172,4.577,4.007,3.542,3.039,2.47,1.957,1.492,1.046,0.476,0.077,4.52,4.045,3.523,2.992,2.508,1.947,1.52,0.989,0.476,0.058
4.643,4.131,3.59,3.068,2.555,2.08,1.568,1.093,0.571,0.106,4.586,3.941,3.485,3.049,2.47,1.947,1.492,1.065,0.457,0.106,4.511,4.036,3.514,3.03,2.479,1.976,1.511,0.96,0.505,0.087
